Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,101.26,194.10,6.32,44.53,26.44,NA,3.30,1.48,3.57,4.38,29.68,5.70,NA,0.33,1.64,NA,46.73,2.75,75.48,NA,0.00,4.80,NA,NA
2021-01-01 01:00:00,93.46,169.28,6.27,42.12,25.23,NA,31.66,0.15,3.71,4.04,24.95,4.41,NA,0.21,1.27,NA,47.94,2.86,85.39,NA,0.00,4.80,NA,NA
2021-01-01 02:00:00,83.43,146.42,6.30,40.88,24.64,NA,50.57,0.28,3.64,3.32,20.87,2.94,NA,0.20,0.84,NA,48.84,2.78,85.84,NA,0.00,4.80,NA,NA
2021-01-01 03:00:00,69.39,123.50,6.84,42.87,26.02,NA,24.34,0.49,3.31,3.06,17.67,2.98,NA,0.20,0.86,NA,50.31,2.37,85.93,NA,0.00,4.80,NA,NA
2021-01-01 04:00:00,56.05,121.42,6.83,40.29,24.75,NA,22.56,0.47,3.28,2.84,16.01,2.65,NA,0.15,0.76,NA,50.29,2.56,80.73,NA,0.00,4.80,NA,NA
2021-01-01 05:00:00,55.49,122.49,6.58,41.44,25.13,NA,12.65,0.96,3.02,2.70,14.27,2.30,NA,0.09,0.66,NA,50.51,2.51,72.13,NA,0.00,4.80,NA,NA
2021-01-01 06:00:00,64.76,119.21,6.84,44.71,26.92,NA,4.62,1.58,2.78,2.98,14.41,1.83,NA,0.14,0.53,NA,50.79,2.34,81.71,NA,0.00,4.80,NA,NA
2021-01-01 07:00:00,63.24,123.60,6.86,50.77,29.88,NA,15.35,0.57,5.41,3.55,14.41,2.17,NA,0.05,0.63,NA,51.30,2.48,75.26,NA,0.00,12.00,NA,NA
2021-01-01 08:00:00,70.02,125.75,7.15,51.79,30.60,NA,31.60,0.16,17.32,4.70,16.00,2.41,NA,0.14,0.70,NA,49.90,2.68,72.22,NA,0.00,61.83,NA,NA
2021-01-01 09:00:00,69.71,132.97,7.71,55.90,33.02,NA,44.02,0.95,34.54,4.56,16.44,1.92,NA,0.04,0.56,NA,48.78,2.84,86.16,NA,0.00,136.77,NA,NA
